date,grade,name,type
2024-03-13,5.4,"Totem (p1 only)",Trad
2024-03-14,5.4,"Humphrey's Head",Trad
2024-03-16,5.7,"Le Gourmet Direct",Trad
2024-03-16,5.6,"Critter Crack",Trad
2024-03-16,5.4,"Le Gourmet",Trad
2024-03-18,5.4,"Ecstasy Junior",Trad
2024-03-22,5.5,"Southwest Buttress Variation",Trad
2024-03-24,5.7,"Crispy Critter",Trad
2024-03-24,5.7,"West Pole",Trad
2024-03-26,5.4,"Conn's West",Trad
2024-03-27,5.10a,"License to Drill",Sport
2024-03-27,5.10c,"Never Say Never",Sport
2024-03-27,5.7,Abandoned,Sport
2024-03-27,5.10b,Dominion,Sport
2024-03-27,5.8,Nameless,Sport
2024-03-27,5.7,Abandoned,Sport
2024-03-31,5.9,"Frosted Flake",Trad
2024-03-31,5.6,"Dirty Old Man",Trad
2024-04-06,5.4,"Up and Coming",Trad
2024-04-06,5.6,"Roy Gap Chimney's",Trad
2024-04-15,5.8,"Climbin' Punishment",Trad
2024-04-16,5.8,"The Burn",Trad
2024-04-19,5.4,"Conn's West",Trad
2024-04-19,5.4,"Gunsight to South Peak",Trad
2024-04-21,5.4,"Totem (p1 only)",Trad
2024-04-22,5.8,"Bottom Feeder",Sport
2024-04-22,5.10a,"License to Drill",Sport
2024-04-23,5.7,Ecstasy,Trad
2024-04-23,5.2,"Old Ladies Route",Trad
2024-04-27,5.4,"Gunsight to South Peak",Trad
2024-04-28,5.4,"Ecstasy Junior",Trad
2024-04-28,5.4,"Humphrey's Head",Trad
2024-05-01,5.9,"Right Tope",Trad
2024-05-02,5.7,Millennium,Trad
2024-05-06,5.11b,Shorty,Sport
2024-05-06,5.7,Oz,Sport
2024-05-08,5.7,"Green Wall",Trad
2024-05-12,5.2,"Old Man's Route",Trad
2024-05-15,5.3,"Skyline Traverse",Trad
2024-05-16,5.8,"Triple S",Trad
2024-05-19,5.10a,"Sea of Tranquility",Sport
2024-05-19,5.11a,"Catfish Strangler",Sport
2024-05-19,5.7,"Welcome to Reed's Creek",Sport
2024-05-19,5.7,"Dr Taco",Sport
2024-05-25,5.8,"Lichen or Leave It",Trad
2024-05-25,5.6,"Bear's Delight",Trad
2024-05-26,5.4,"Conn's West",Trad
2024-05-27,5.4,"Ecstasy Junior",Trad
2024-05-27,5.2,"Old Man's Route",Trad
2024-05-28,5.1,"Worrell's Thicket",Trad
2024-05-28,5.4,"Up and Coming",Trad
2024-05-28,5.2,"Old Ladies Route",Trad
2024-06-01,5.4,"Conn's West",Trad
2024-06-03,5.6,Thais,Trad
2024-06-07,5.7,"Bee Sting Corner",Trad
2024-06-07,5.8,T&T,Trad
2024-06-08,5.4,Kauffman-Cardon,Trad
2024-06-08,5.6,"Conn's East",Trad
2024-06-11,5.10a,Pollux,Trad
2024-06-13,5.8,"Climbin' Punishment",Trad
2024-06-15,5.4,"Gunsight to South Peak",Trad
2024-06-19,5.4,"Totem (p1 only)",Trad
2024-06-20,5.11a,Ambush,Trad
2024-06-21,5.7,"Pleasant Overhangs",Trad
2024-06-22,5.6,"EZ Wider",Sport
2024-06-24,5.2,"Old Man's Route",Trad
2024-06-24,5.6,"Critter Crack",Trad
